Species,Country,Value
Fish,Australia,0.923
Marine Fish,Australia,0
Freshwater Fish,Australia,0
Fish,Austria,46.429
Marine Fish,Austria,0
Freshwater Fish,Austria,46.429
Fish,Belgium,20.423
Marine Fish,Belgium,14.141
Freshwater Fish,Belgium,34.884
Fish,Canada,8.31
Marine Fish,Canada,5.81
Freshwater Fish,Canada,21.951
Fish,Czech Republic,41.538
Marine Fish,Czech Republic,0
Freshwater Fish,Czech Republic,41.538
Fish,Denmark,0
Marine Fish,Denmark,0
Freshwater Fish,Denmark,14.545
Fish,Estonia,7.059
Marine Fish,Estonia,3.125
Freshwater Fish,Estonia,12.195
Fish,Finland,0
Marine Fish,Finland,0
Freshwater Fish,Finland,17.391
Fish,France,23.077
Marine Fish,France,0
Freshwater Fish,France,23.077
Fish,Germany,26.344
Marine Fish,Germany,22.581
Freshwater Fish,Germany,30.108
Fish,Greece,9.474
Marine Fish,Greece,2.74
Freshwater Fish,Greece,31.818
Fish,Hungary,43.21
Marine Fish,Hungary,0
Freshwater Fish,Hungary,43.21
Fish,Ireland,4.521
Marine Fish,Ireland,0
Freshwater Fish,Ireland,17.857
Fish,Italy,22.543
Marine Fish,Italy,18.421
Freshwater Fish,Italy,25.773
Fish,Japan,0
Marine Fish,Japan,0
Freshwater Fish,Japan,41.75
Fish,Korea,2.044
Marine Fish,Korea,0
Freshwater Fish,Korea,12.871
Fish,Latvia,2.299
Marine Fish,Latvia,2.381
Freshwater Fish,Latvia,2.222
Fish,Luxembourg,27.907
Marine Fish,Luxembourg,0
Freshwater Fish,Luxembourg,27.907
Fish,Mexico,6.298
Marine Fish,Mexico,0
Freshwater Fish,Mexico,29.703
Fish,Netherlands,23.711
Marine Fish,Netherlands,17.544
Freshwater Fish,Netherlands,32.5
Fish,New Zealand,7.216
Marine Fish,New Zealand,0
Freshwater Fish,New Zealand,0
Fish,Norway,2.244
Marine Fish,Norway,2.456
Freshwater Fish,Norway,0
Fish,Poland,21.014
Marine Fish,Poland,18
Freshwater Fish,Poland,34.286
Fish,Portugal,33.846
Marine Fish,Portugal,0
Freshwater Fish,Portugal,0
Fish,Slovak Republic,0
Marine Fish,Slovak Republic,0
Freshwater Fish,Slovak Republic,15.19
Fish,Slovenia,18.315
Marine Fish,Slovenia,5.319
Freshwater Fish,Slovenia,47.059
Fish,Spain,0
Marine Fish,Spain,0
Freshwater Fish,Spain,64.706
Fish,Sweden,14.184
Marine Fish,Sweden,19
Freshwater Fish,Sweden,4.762
Fish,Switzerland,34.286
Marine Fish,Switzerland,0
Freshwater Fish,Switzerland,34.286
Fish,United Kingdom,0
Marine Fish,United Kingdom,0
Freshwater Fish,United Kingdom,20
Fish,United States,0
Marine Fish,United States,0
Freshwater Fish,United States,31.746
Fish,Colombia,2.358
Marine Fish,Colombia,2.8
Freshwater Fish,Colombia,7.596
Fish,Costa Rica,0
Marine Fish,Costa Rica,0.274
Freshwater Fish,Costa Rica,0.369
Fish,Lithuania,0.952
Marine Fish,Lithuania,1.961
Freshwater Fish,Lithuania,0
Fish,Russia,0
Marine Fish,Russia,0
Freshwater Fish,Russia,12.274
