Country,Waste
Andorra,2425
Armenia,18225893
Australia,2215510
Austria,903651
Azerbaijan,185000
Bahrain,139830
Bulgaria,203990
Chile,388773
Colombia,279052
Croatia,63615
Cyprus,82743
Czech Republic,1840809
Denmark,925038
Estonia,9311675
Greece,277000
Honduras,9600
Hungary,1087738
Latvia,58476
Lithuania,140964
Luxembourg,93497
Malaysia,1010594
Malta,41636
Mauritius,8825
Mexico,134313
Morocco,256000
Poland,1834072
Portugal,862489
Serbia,183353
Singapore,432600
Slovakia,379628
United Kingdom,4193218
Uzbekistan,18921
