"IUCN","IUCN Category","SPEC","Species","COU","Country","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"TOT_KNOWN","Total number of known species","FISH_TOT","Fish","AUS","Australia","NBR","Number","0","Units",,,5203,,
"ENDANGERED","Number of endangered species","FISH_TOT","Fish","AUS","Australia","NBR","Number","0","Units",,,16,,
"ENDANGERED","Number of endangered species","MARINE_F","Marine Fish","AUS","Australia","NBR","Number","0","Units",,,2,,
"ENDANGERED","Number of endangered species","FRESHW_F","Freshwater Fish","AUS","Australia","NBR","Number","0","Units",,,14,,
"CRITICAL","Number of critically endangered species","FISH_TOT","Fish","AUS","Australia","NBR","Number","0","Units",,,8,,
"CRITICAL","Number of critically endangered species","MARINE_F","Marine Fish","AUS","Australia","NBR","Number","0","Units",,,3,,
"CRITICAL","Number of critically endangered species","FRESHW_F","Freshwater Fish","AUS","Australia","NBR","Number","0","Units",,,5,,
"VULNERABLE","Number of vulnerable species","FISH_TOT","Fish","AUS","Australia","NBR","Number","0","Units",,,24,,
"VULNERABLE","Number of vulnerable species","MARINE_F","Marine Fish","AUS","Australia","NBR","Number","0","Units",,,8,,
"VULNERABLE","Number of vulnerable species","FRESHW_F","Freshwater Fish","AUS","Australia","NBR","Number","0","Units",,,16,,
"THREATENED","Total number of threatened species","FISH_TOT","Fish","AUS","Australia","NBR","Number","0","Units",,,48,,
"THREATENED","Total number of threatened species","MARINE_F","Marine Fish","AUS","Australia","NBR","Number","0","Units",,,13,,
"THREATENED","Total number of threatened species","FRESHW_F","Freshwater Fish","AUS","Australia","NBR","Number","0","Units",,,35,,
"THREAT_PERCENT","Threatened species as % of known species","FISH_TOT","Fish","AUS","Australia","PC","Percentage","0","Units",,,0.923,,
"TOT_KNOWN","Total number of known species","FISH_TOT","Fish","AUT","Austria","NBR","Number","0","Units",,,84,,
"TOT_KNOWN","Total number of known species","FRESHW_F","Freshwater Fish","AUT","Austria","NBR","Number","0","Units",,,84,,
"TOT_KNOWN_IND","Total number of indigenous known species","FISH_TOT","Fish","AUT","Austria","NBR","Number","0","Units",,,84,,
"TOT_KNOWN_IND","Total number of indigenous known species","FRESHW_F","Freshwater Fish","AUT","Austria","NBR","Number","0","Units",,,84,,
"ENDANGERED","Number of endangered species","FISH_TOT","Fish","AUT","Austria","NBR","Number","0","Units",,,18,,
"ENDANGERED","Number of endangered species","FRESHW_F","Freshwater Fish","AUT","Austria","NBR","Number","0","Units",,,18,,
"CRITICAL","Number of critically endangered species","FISH_TOT","Fish","AUT","Austria","NBR","Number","0","Units",,,6,,
"CRITICAL","Number of critically endangered species","FRESHW_F","Freshwater Fish","AUT","Austria","NBR","Number","0","Units",,,6,,
"VULNERABLE","Number of vulnerable species","FISH_TOT","Fish","AUT","Austria","NBR","Number","0","Units",,,15,,
"VULNERABLE","Number of vulnerable species","FRESHW_F","Freshwater Fish","AUT","Austria","NBR","Number","0","Units",,,15,,
