SPEC	Species	COU	Country	Value
FISH_TOT	Fish	AUS	Australia	0.923
MARINE_F	Marine Fish	AUS	Australia	0
FRESHW_F	Freshwater Fish	AUS	Australia	0
FISH_TOT	Fish	AUT	Austria	46.429
MARINE_F	Marine Fish	AUT	Austria	0
FRESHW_F	Freshwater Fish	AUT	Austria	46.429
FISH_TOT	Fish	BEL	Belgium	20.423
MARINE_F	Marine Fish	BEL	Belgium	14.141
FRESHW_F	Freshwater Fish	BEL	Belgium	34.884
FISH_TOT	Fish	CAN	Canada	8.31
MARINE_F	Marine Fish	CAN	Canada	5.81
FRESHW_F	Freshwater Fish	CAN	Canada	21.951
FISH_TOT	Fish	CZE	Czech Republic	41.538
MARINE_F	Marine Fish	CZE	Czech Republic	0
FRESHW_F	Freshwater Fish	CZE	Czech Republic	41.538
FISH_TOT	Fish	DNK	Denmark	0
MARINE_F	Marine Fish	DNK	Denmark	0
FRESHW_F	Freshwater Fish	DNK	Denmark	14.545
FISH_TOT	Fish	EST	Estonia	7.059
MARINE_F	Marine Fish	EST	Estonia	3.125
FRESHW_F	Freshwater Fish	EST	Estonia	12.195
FISH_TOT	Fish	FIN	Finland	0
MARINE_F	Marine Fish	FIN	Finland	0
FRESHW_F	Freshwater Fish	FIN	Finland	17.391
FISH_TOT	Fish	FRA	France	23.077
MARINE_F	Marine Fish	FRA	France	0
FRESHW_F	Freshwater Fish	FRA	France	23.077
FISH_TOT	Fish	DEU	Germany	26.344
MARINE_F	Marine Fish	DEU	Germany	22.581
FRESHW_F	Freshwater Fish	DEU	Germany	30.108
FISH_TOT	Fish	GRC	Greece	9.474
MARINE_F	Marine Fish	GRC	Greece	2.74
FRESHW_F	Freshwater Fish	GRC	Greece	31.818
FISH_TOT	Fish	HUN	Hungary	43.21
MARINE_F	Marine Fish	HUN	Hungary	0
FRESHW_F	Freshwater Fish	HUN	Hungary	43.21
FISH_TOT	Fish	IRL	Ireland	4.521
MARINE_F	Marine Fish	IRL	Ireland	0
FRESHW_F	Freshwater Fish	IRL	Ireland	17.857
FISH_TOT	Fish	ITA	Italy	22.543
MARINE_F	Marine Fish	ITA	Italy	18.421
FRESHW_F	Freshwater Fish	ITA	Italy	25.773
FISH_TOT	Fish	JPN	Japan	0
MARINE_F	Marine Fish	JPN	Japan	0
FRESHW_F	Freshwater Fish	JPN	Japan	41.75
FISH_TOT	Fish	KOR	Korea	2.044
MARINE_F	Marine Fish	KOR	Korea	0
FRESHW_F	Freshwater Fish	KOR	Korea	12.871
FISH_TOT	Fish	LVA	Latvia	2.299
MARINE_F	Marine Fish	LVA	Latvia	2.381
FRESHW_F	Freshwater Fish	LVA	Latvia	2.222
FISH_TOT	Fish	LUX	Luxembourg	27.907
MARINE_F	Marine Fish	LUX	Luxembourg	0
FRESHW_F	Freshwater Fish	LUX	Luxembourg	27.907
FISH_TOT	Fish	MEX	Mexico	6.298
MARINE_F	Marine Fish	MEX	Mexico	0
FRESHW_F	Freshwater Fish	MEX	Mexico	29.703
FISH_TOT	Fish	NLD	Netherlands	23.711
MARINE_F	Marine Fish	NLD	Netherlands	17.544
FRESHW_F	Freshwater Fish	NLD	Netherlands	32.5
FISH_TOT	Fish	NZL	New Zealand	7.216
MARINE_F	Marine Fish	NZL	New Zealand	0
FRESHW_F	Freshwater Fish	NZL	New Zealand	0
FISH_TOT	Fish	NOR	Norway	2.244
MARINE_F	Marine Fish	NOR	Norway	2.456
FRESHW_F	Freshwater Fish	NOR	Norway	0
FISH_TOT	Fish	POL	Poland	21.014
MARINE_F	Marine Fish	POL	Poland	18
FRESHW_F	Freshwater Fish	POL	Poland	34.286
FISH_TOT	Fish	PRT	Portugal	33.846
MARINE_F	Marine Fish	PRT	Portugal	0
FRESHW_F	Freshwater Fish	PRT	Portugal	0
FISH_TOT	Fish	SVK	Slovak Republic	0
MARINE_F	Marine Fish	SVK	Slovak Republic	0
FRESHW_F	Freshwater Fish	SVK	Slovak Republic	15.19
FISH_TOT	Fish	SVN	Slovenia	18.315
MARINE_F	Marine Fish	SVN	Slovenia	5.319
FRESHW_F	Freshwater Fish	SVN	Slovenia	47.059
FISH_TOT	Fish	ESP	Spain	0
MARINE_F	Marine Fish	ESP	Spain	0
FRESHW_F	Freshwater Fish	ESP	Spain	64.706
FISH_TOT	Fish	SWE	Sweden	14.184
MARINE_F	Marine Fish	SWE	Sweden	19
FRESHW_F	Freshwater Fish	SWE	Sweden	4.762
FISH_TOT	Fish	CHE	Switzerland	34.286
MARINE_F	Marine Fish	CHE	Switzerland	0
FRESHW_F	Freshwater Fish	CHE	Switzerland	34.286
FISH_TOT	Fish	GBR	United Kingdom	0
MARINE_F	Marine Fish	GBR	United Kingdom	0
FRESHW_F	Freshwater Fish	GBR	United Kingdom	20
FISH_TOT	Fish	USA	United States	0
MARINE_F	Marine Fish	USA	United States	0
FRESHW_F	Freshwater Fish	USA	United States	31.746
FISH_TOT	Fish	COL	Colombia	2.358
MARINE_F	Marine Fish	COL	Colombia	2.8
FRESHW_F	Freshwater Fish	COL	Colombia	7.596
FISH_TOT	Fish	CRI	Costa Rica	0
MARINE_F	Marine Fish	CRI	Costa Rica	0.274
FRESHW_F	Freshwater Fish	CRI	Costa Rica	0.369
FISH_TOT	Fish	LTU	Lithuania	0.952
MARINE_F	Marine Fish	LTU	Lithuania	1.961
FRESHW_F	Freshwater Fish	LTU	Lithuania	0
FISH_TOT	Fish	RUS	Russia	0
MARINE_F	Marine Fish	RUS	Russia	0
FRESHW_F	Freshwater Fish	RUS	Russia	12.274
