Country,Waste
Andorra,2425
Armenia,18,225,893
Australia,2,215,510
Austria,903,651
Azerbaijan,185,000
Bahrain,139,830
Bulgaria,203,990
Chile,388,773
Colombia,279,052
Croatia,63,615
Cyprus,82,743
Czech Republic,1,840,809
Denmark,925,038
Estonia ,9,311,675
Greece,277,000
Honduras,9,600
Hungary,1,087,738
Latvia,58,476
Lithuania,140,964
Luxembourg,93,497
Malaysia,1,010,594
Malta,41,636
Mauritius,8,825
Mexico,134,313
Morocco,256,000
Poland,1,834,072
Portugal,862,489
Serbia,183,353
Singapore,432,600
Slovakia,379,628
United Kingdom,4,193,218
Uzbekistan,18,921
